使用区队	申请日期	出库明细									
使用区队	申请日期	物料类型	物料编码	物料名称	规格型号	单位	出库数量	单价	金额	单位	工程名称
综机机加工车间	2025-12-25	材料	214101150000004	花兰螺丝	16×250	条	1.00	18.80	18.80	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-25	材料	211515030000002	弹簧垫	12mm	件	14.00	0.07	0.98	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-25	材料	211503010000002	普通螺母	12mm	件	1.00	0.13	0.13	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-25	材料	211515090000002	镀锌平垫	12mm	件	14.00	0.05	0.70	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-25	材料	/	六角螺栓	12×50	件	14.00	0.33	4.62	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-25	材料	211503010000003	普通螺母	14mm	件	14.00	0.14	1.96	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-25	材料	211515090000004	镀锌平垫	16mm	件	14.00	0.11	1.54	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-25	材料	211515090000005	镀锌平垫	18mm	件	30.00	0.18	5.40	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-25	材料	211501010000216	六角螺栓	16×70	件	14.00	0.83	11.62	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-25	材料	210509010000036	交流接触器	(CJT1)CJ10-40A/380V.	台	2.00	38.00	76.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-25	材料	210545710000004	配电箱	300×400	个	1.00	61.80	61.80	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	212101250000053	法兰盘	50mm(-16)	个	300.00	14.96	4488.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	211503010000010	普通螺母	30mm	件	20.00	1.51	30.20	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	510199170000234	直通	KJ-10	件	10.00	3.19	31.90	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	510199170000237	直通	KJ-19	件	2.00	6.15	12.30	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	550199110000026	托辊	89×280×20×325(±20)×3.25-3	组	50.00	218.89	10944.50	开掘	﹢740m上仓斜巷
