集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：2月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
1	2月	氧气管		6.4	50	米	6.4	分采	现金	50	320.00 		4.28 	213.88 	开掘	回风斜井
2	2月	乙炔管		6.4	50	米	6.4	分采	现金	50	320.00 		4.28 	213.88 	开掘	回风斜井
3	2月	氧气表		170	5	个	170	分采	现金	5	850.00 		113.62 	568.11 	开掘	回风斜井
4	2月	乙炔表		160	5	个	160	分采	现金	5	800.00 		106.94 	534.69 	开掘	回风斜井
5	2月	割把		110	5	个	110	分采	现金	5	550.00 		73.52 	367.60 	开掘	回风斜井
6	2月	数字万用表		80	2	个	80	分采	现金	2	160.00 		53.47 	106.94 	开掘	回风斜井
7	2月	金属漆刷	100mm	40	10	把	40	分采	现金	10	400.00 		26.73 	267.34 	开掘	回风斜井
8	2月	焊工手套		25	10	副	25	分采	现金	10	250.00 		16.71 	167.09 	开掘	回风斜井
9	2月	护目镜		30	10	个	30	分采	现金	10	300.00 		20.05 	200.51 	开掘	回风斜井
10	2月	喷漆壶		150	2	个	150	分采	现金	2	300.00 		100.25 	200.51 	开掘	回风斜井
11	2月	皮尺	50m	55	3	个	55	分采	现金	3	165.00 		36.76 	110.28 	开掘	回风斜井
12	2月	卷尺	7.5m	45	10	个	45	分采	现金	10	450.00 		30.08 	300.76 	开掘	回风斜井
13	2月	卷尺	3m	15	1	个	15	分采	现金	1	15.00 		10.03 	10.03 	开掘	回风斜井
14	2月	双芯白线	2×1.5m²	5.5	100	米	5.5	分采	现金	100	550.00 		3.68 	367.60 	开掘	回风斜井
15	2月	开关	单开	10	10	个	10	分采	现金	10	100.00 		6.68 	66.84 	开掘	回风斜井
16	2月	插座	单孔	10	10	个	10	分采	现金	10	100.00 		6.68 	66.84 	开掘	回风斜井
17	2月	空气开关	100A	150	5	个	150	分采	现金	5	750.00 		100.25 	501.27 	开掘	回风斜井
18	2月	空气开关	63A	45	10	个	45	分采	现金	10	450.00 		30.08 	300.76 	开掘	回风斜井
19	2月	空气开关	40A	40	10	个	40	分采	现金	10	400.00 		26.73 	267.34 	开掘	回风斜井
20	2月	塑壳断路器	400A	750	3	个	750	分采	现金	3	2,250.00 		501.27 	1503.81 	开掘	回风斜井
21	2月	塑壳断路器	250A	450	5	个	450	分采	现金	5	2,250.00 		300.76 	1503.81 	开掘	回风斜井
22	2月	LED灯泡	40W	50	10	个	50	分采	现金	10	500.00 		33.42 	334.18 	开掘	回风斜井
23	2月	LED投光灯	200W	210	5	个	210	分采	现金	5	1,050.00 		140.36 	701.78 	开掘	回风斜井
24	2月	空开滑轨		10	10	个	10	分采	现金	10	100.00 		6.68 	66.84 	开掘	回风斜井
25	2月	配电箱	300mm×400mm	190	2	个	190	分采	现金	2	380.00 		126.99 	253.98 	开掘	回风斜井
26	2月	燕尾丝	30mm	0.5	500	条	0.5	分采	现金	500	250.00 		0.33 	167.09 	开掘	回风斜井
27	2月	燕尾丝	60mm	0.8	500	条	0.8	分采	现金	500	400.00 		0.53 	267.34 	开掘	回风斜井
28	2月	玻璃胶		25	5	管	25	分采	现金	5	125.00 		16.71 	83.54 	开掘	回风斜井
29	2月	胶枪		49	1	把	49	分采	现金	1	49.00 		32.75 	32.75 	开掘	回风斜井
30	2月	锂电手钻		700	1	把	700	分采	现金	1	700.00 		467.85 	467.85 	开掘	回风斜井
31	2月	坯头	200mm	20	2	根	20	分采	现金	2	40.00 		13.37 	26.73 	开掘	回风斜井
32	2月	轻型冲击电锤		1650	1	把	1650	分采	现金	1	1,650.00 		1,102.79 	1102.79 	开掘	回风斜井
33	2月	冲击钻钻头	φ6	10	2	根	10	分采	现金	2	20.00 		6.68 	13.37 	开掘	回风斜井
34	2月	冲击钻钻头	φ8	10	2	根	10	分采	现金	2	20.00 		6.68 	13.37 	开掘	回风斜井
35	2月	冲击钻钻头	φ10	15	2	根	15	分采	现金	2	30.00 		10.03 	20.05 	开掘	回风斜井
36	2月	冲击钻钻头	φ12	15	2	根	15	分采	现金	2	30.00 		10.03 	20.05 	开掘	回风斜井
37	2月	冲击钻钻头	φ14	18	2	根	18	分采	现金	2	36.00 		12.03 	24.06 	开掘	回风斜井
38	2月	冲击钻钻头	φ16	20	2	根	20	分采	现金	2	40.00 		13.37 	26.73 	开掘	回风斜井
39	2月	膨胀螺丝	M10	3.7	300	根	3.7	分采	现金	300	1,110.00 		2.47 	741.88 	开掘	回风斜井
40	2月	膨胀螺丝	M18	6.2	300	根	6.2	分采	现金	300	1,860.00 		4.14 	1243.15 	开掘	回风斜井
41	2月	线卡	8mm	10	70	包	10	分采	现金	70	700.00 		6.68 	467.85 	开掘	回风斜井
42	2月	等离子切割嘴	P80	35	10	套	35	分采	现金	10	350.00 		23.39 	233.93 	开掘	回风斜井
43	2月	焊把线		50	100	米	50	分采	现金	100	5,000.00 		33.42 	3341.80 	开掘	回风斜井
44	2月	电焊机接线柱		35	2	个	35	分采	现金	2	70.00 		23.39 	46.79 	开掘	回风斜井
45	2月	焊丝	φ0.8	130	10	盘	130	分采	现金	10	1,300.00 		86.89 	868.87 	开掘	回风斜井
46	2月	电焊机面罩		30	1	个	30	分采	现金	1	30.00 		20.05 	20.05 	开掘	回风斜井
47	2月	灯头	螺纹	10	10	个	10	分采	现金	10	100.00 		6.68 	66.84 	开掘	回风斜井
