集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：9月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
1	9月	无缝钢管	φ159×6mm×13m		18496	kg	15.35	分采	转账	18496	283,913.60 		11.57 	213999.85 	开掘	﹢810m水平回风大巷
2	9月	无缝钢管	φ159×6mm×13m		10585	kg	15.35	分采	转账	10585	162,479.75 		11.57 	122469.10 	开掘	﹢810m水平回风大巷
3	9月	灭火器                                           	4L		20	台   	240	分采	转账	20	4,800.00 		180.90 	3618.00 	开掘	﹢810m水平回风大巷
4	9月	灭火器                                               	10L		4	台   	600	分采	转账	4	2,400.00 		452.25 	1809.00 	开掘	﹢810m水平回风大巷
5	9月	放炮线                                    	/		5	盘 	295	分采	转账	5	1,475.00 		222.36 	1111.78 	开掘	﹢810m水平回风大巷
6	9月	1号电池                                               	/		36	节	5	分采	转账	36	180.00 		3.77 	135.67 	开掘	﹢810m水平回风大巷
7	9月	六角螺栓                                                                 	16*70		2400	件 	2.9	分采	转账	2400	6,960.00 		2.19 	5246.10 	开掘	﹢810m水平回风大巷
8	9月	普通螺母                                              	M16		2400	个 	2.9	分采	转账	2400	6,960.00 		2.19 	5246.10 	开掘	﹢810m水平回风大巷
9	9月	棕绳                                        	20mm		1500	公斤	50	分采	转账	1500	75,000.00 		37.69 	56531.24 	开掘	﹢810m水平回风大巷
10	9月	管子垫                                          	10mm		1000	件 	4	分采	转账	1000	4,000.00 		3.01 	3015.00 	开掘	﹢810m水平回风大巷
11	9月	硒鼓                                        	惠普M126a		10	个	120	分采	转账	10	1,200.00 		90.45 	904.50 	开掘	﹢810m水平回风大巷
12	9月	硒鼓                                              	佳能F162100		10	个	120	分采	转账	10	1,200.00 		90.45 	904.50 	开掘	﹢810m水平回风大巷
13	9月	网路电源一体化电缆   	CAT5E网线+RVV电源线		600	米 	6	分采	转账	600	3,600.00 		4.52 	2713.50 	开掘	﹢810m水平回风大巷
14	9月	线槽 	20*20		100	米 	11	分采	转账	100	1,100.00 		8.29 	829.12 	开掘	﹢810m水平回风大巷
15	9月	线槽 	60*100		200	米 	44	分采	转账	200	8,800.00 		33.16 	6633.00 	开掘	﹢810m水平回风大巷
16	9月	电源适配器                        	12V5A		5	个 	75	分采	转账	5	375.00 		56.53 	282.66 	开掘	﹢810m水平回风大巷
17	9月	电源适配器                                  	5V2A		20	个 	45	分采	转账	20	900.00 		33.92 	678.37 	开掘	﹢810m水平回风大巷
18	9月	POE交换机                              	5口		3	台 	500	分采	转账	3	1,500.00 		376.87 	1130.62 	开掘	﹢810m水平回风大巷
19	9月	海康摄像头                           	吸顶式2.8MM,4MP		5	台 	495	分采	转账	5	2,475.00 		373.11 	1865.53 	开掘	﹢810m水平回风大巷
20	9月	海康摄像头                            	4MM,4MP		2	台 	1350	分采	转账	2	2,700.00 		1017.56 	2035.12 	开掘	﹢810m水平回风大巷
21	9月	海康摄像头                                 	带存储卡2.8MM,4MP		1	台 	550	分采	转账	1	550.00 		414.56 	414.56 	开掘	﹢810m水平回风大巷
22	9月	摄像头存储卡                                  	1T		1	个 	230	分采	转账	1	230.00 		173.36 	173.36 	开掘	﹢810m水平回风大巷
23	9月	存储硬盘                                           	8T		1	个	2950	分采	转账	1	2,950.00 		2223.56 	2223.56 	开掘	﹢810m水平回风大巷
24	9月	LED单色                                	5.2米双排		1	套 	15000	分采	转账	1	15,000.00 		11306.25 	11306.25 	开掘	﹢810m水平回风大巷
25	9月	螺纹钢                                              	8mm		180	公斤 	28	分采	转账	180	5,040.00 		21.10 	3798.90 	开掘	﹢810m水平回风大巷
26	9月	天蓝漆                                           	/		5	箱 	675	分采	转账	5	3,375.00 		508.78 	2543.91 	开掘	﹢810m水平回风大巷
27	9月	白漆                                                          	/		3	箱 	480	分采	转账	3	1,440.00 		361.80 	1085.40 	开掘	﹢810m水平回风大巷
28	9月	等离子割嘴                               	P80		50	套 	55	分采	转账	50	2,750.00 		41.46 	2072.81 	开掘	﹢810m水平回风大巷
29	9月	尖嘴钳子                                    	/		3	把	50	分采	转账	3	150.00 		37.69 	113.06 	开掘	﹢810m水平回风大巷
30	9月	角度尺                                           	/		2	把 	85	分采	转账	2	170.00 		64.07 	128.14 	开掘	﹢810m水平回风大巷
31	9月	钢板尺                                        	2m		2	把 	60	分采	转账	2	120.00 		45.22 	90.45 	开掘	﹢810m水平回风大巷
32	9月	拐尺                                              	500mm		2	把 	55	分采	转账	2	110.00 		41.46 	82.91 	开掘	﹢810m水平回风大巷
33	9月	拐尺                                              	300mm		2	把 	40	分采	转账	2	80.00 		30.15 	60.30 	开掘	﹢810m水平回风大巷
34	9月	蛇皮管                                  	25mm		2	盘 	500	分采	转账	2	1,000.00 		376.87 	753.75 	开掘	﹢810m水平回风大巷
35	9月	网线                                                            	CAT5E网线		600	米	6	分采	转账	600	3,600.00 		4.52 	2713.50 	开掘	﹢810m水平回风大巷
36	9月	音频设备机柜	12U机柜		2	个 	1980	分采	转账	2	3,960.00 		1492.42 	2984.85 	开掘	﹢810m水平回风大巷
37	9月	插排                                                 	6插		10	个 	135	分采	转账	10	1,350.00 		101.76 	1017.56 	开掘	﹢810m水平回风大巷
38	9月	电池                                          	5号		120	节 	3.5	分采	转账	120	420.00 		2.64 	316.57 	开掘	﹢810m水平回风大巷
39	9月	排钉                                      мех 	/		5	盒 	22	分采	转账	5	110.00 		16.58 	82.91 	开掘	﹢810m水平回风大巷
40	9月	背板	1100mm×150mm×50mm		12	方	3600	分采	转账	12	43,200.00 		2713.50 	32562.00 	开掘	﹢810m水平回风大巷
41	9月	车轱辘	/		14	个	278	分采	转账	14	3,892.00 		209.54 	2933.59 	开掘	﹢810m水平回风大巷
42	9月	双轮吨车	/		1	辆	4760	分采	转账	1	4,760.00 		3587.85 	3587.85 	开掘	﹢810m水平回风大巷
43	9月	木材	50mm×150mm×1200m		50	方	3600	分采	转账	50	180,000.00 		2713.50 	135674.98 	开掘	﹢810m水平回风大巷
44	9月	雨衣	整体		50	套	187	分采	转账	50	9,350.00 		140.95 	7047.56 	开掘	﹢810m水平回风大巷
45	9月	雨衣	分体		30	套	235	分采	转账	30	7,050.00 		177.13 	5313.94 	开掘	﹢810m水平回风大巷
46	9月	手持式电钻	/		1	台	670	分采	转账	1	670.00 		505.01 	505.01 	开掘	﹢810m水平回风大巷
47	9月	钻头	22		2	个	45	分采	转账	2	90.00 		33.92 	67.84 	开掘	﹢810m水平回风大巷
48	9月	钻头	24mm		2	个	55	分采	转账	2	110.00 		41.46 	82.91 	开掘	﹢810m水平回风大巷
49	9月	木板	50mm×200mm×6000mm		6	方	4950	分采	转账	6	29,700.00 		3731.06 	22386.37 	开掘	﹢810m水平回风大巷
50	9月	爪钉	/		100	个	25	分采	转账	100	2,500.00 		18.84 	1884.37 	开掘	﹢810m水平回风大巷
51	9月	泥抹	/		5	个	57	分采	转账	5	285.00 		42.96 	214.82 	开掘	﹢810m水平回风大巷
52	9月	斧子	/		3	个	150	分采	转账	3	450.00 		113.06 	339.19 	开掘	﹢810m水平回风大巷
53	9月	无刷锂切割机	1100mm×150mm×50mm		2	台	1620	分采	转账	2	3,240.00 		1221.07 	2442.15 	开掘	﹢810m水平回风大巷
54	9月	双轮推吨车	/		2	辆	4760	分采	转账	2	9,520.00 		3587.85 	7175.70 	开掘	﹢810m水平回风大巷
55	9月	手持式电锯	/		2	台	1500	分采	转账	2	3,000.00 		1130.62 	2261.25 	开掘	﹢810m水平回风大巷
56	9月	手持式电锯条	/		10	条	300	分采	转账	10	3,000.00 		226.12 	2261.25 	开掘	﹢810m水平回风大巷
57	9月	水泥	400		3	吨	935	分采	转账	3	2,805.00 		704.76 	2114.27 	开掘	﹢810m水平回风大巷
58	9月	水泥	400		22.6	吨	935	分采	转账	22.6	21,131.00 		704.76 	15927.49 	开掘	﹢810m水平回风大巷
59	9月	水泥	400		61.13	吨	935	分采	转账	61.13	57,156.55 		704.76 	43081.74 	开掘	﹢810m水平回风大巷
60	9月	中厚板	3mm		1.736	吨	9955	分采	转账	1.736	17,281.88 		7503.58 	13026.22 	开掘	﹢810m水平回风大巷
61	9月	中厚板	6mm		2.14	吨	9555	分采	转账	2.14	20,447.70 		7202.08 	15412.45 	开掘	﹢810m水平回风大巷
62	9月	中厚板	10mm		7.3	吨	9555	分采	转账	7.3	69,751.50 		7202.08 	52575.19 	开掘	﹢810m水平回风大巷
63	9月	中厚板	12mm		1.724	吨	9555	分采	转账	1.724	16,472.82 		7202.08 	12416.39 	开掘	﹢810m水平回风大巷
64	9月	中厚板	25mm		1.785	吨	11155	分采	转账	1.785	19,911.68 		8408.08 	15008.42 	开掘	﹢810m水平回风大巷
65	9月	热轧等边角钢	50*5		6.022	吨	9755	分采	转账	6.022	58,744.61 		7352.83 	44278.74 	开掘	﹢810m水平回风大巷
66	9月	热轧等边角钢	75*5		0.896	吨	9755	分采	转账	0.896	8,740.48 		7352.83 	6588.14 	开掘	﹢810m水平回风大巷
67	9月	焊管	ф15mm		0.8	吨	12755	分采	转账	0.8	10,204.00 		9614.08 	7691.26 	开掘	﹢810m水平回风大巷
68	9月	焊管	ф20mm		0.302	吨	12855	分采	转账	0.302	3,882.21 		9689.46 	2926.22 	开掘	﹢810m水平回风大巷
69	9月	焊管	ф25mm		0.304	吨	12855	分采	转账	0.304	3,907.92 		9689.46 	2945.59 	开掘	﹢810m水平回风大巷
70	9月	扁钢	5mm		0.5	吨	10055	分采	转账	0.5	5,027.50 		7578.96 	3789.48 	开掘	﹢810m水平回风大巷
71	9月	沙	/		30	立方	95	分采	转账	30	2,850.00 		71.61 	2148.19 	开掘	﹢810m水平回风大巷
72	9月	方木	150mm*150mm*6000mm		3	立方	5230	分采	转账	3	15,690.00 		3942.11 	11826.34 	开掘	﹢810m水平回风大巷
73	9月	木板	50mm*200mm*6000mm		4.4	立方	4980	分采	转账	4.4	21,912.00 		3753.67 	16516.17 	开掘	﹢810m水平回风大巷
74	9月	木板	30mm*200mm*6000mm		2.6	立方	4980	分采	转账	2.6	12,948.00 		3753.67 	9759.55 	开掘	﹢810m水平回风大巷
75	9月	水泥	400		7	吨	935	分采	转账	7	6,545.00 		704.76 	4933.29 	开掘	﹢810m水平回风大巷
76	9月	水泥	400		7	吨	935	分采	转账	7	6,545.00 		704.76 	4933.29 	开掘	﹢810m水平回风大巷
77	9月	水泥	400		7	吨	935	分采	转账	7	6,545.00 		704.76 	4933.29 	开掘	﹢810m水平回风大巷
78	9月	水泥	400		7	吨	935	分采	转账	7	6,545.00 		704.76 	4933.29 	开掘	﹢810m水平回风大巷
79	9月	木板	3mm*15mm*6000mm		6.5	立方	4730	分采	转账	6.5	30,745.00 		3565.24 	23174.04 	开掘	﹢810m水平回风大巷
80	9月	沙	/		120	立方	95	分采	转账	120	11,400.00 		71.61 	8592.75 	开掘	﹢810m水平回风大巷
81	9月	沙	/		120	立方	95	分采	转账	120	11,400.00 		71.61 	8592.75 	开掘	﹢810m水平回风大巷
82	9月	水泥	400		7	吨	935	分采	转账	7	6,545.00 		704.76 	4933.29 	开掘	﹢810m水平回风大巷
